,street,project,marketSegment,lat,long,avg_price_per_sqm,district,commonest_tenure
152,ONE-NORTH GATEWAY,ONE-NORTH RESIDENCES,RCR,1.22589748733618,103.86534704655222,15706.133925997783,05,99 yrs lease commencing from 2005
153,STIRLING ROAD,QUEENS,RCR,1.2426677188113957,103.85634642099635,13453.044071391483,03,99 yrs lease commencing from 1998
154,DEPOT ROAD,THE INTERLACE,RCR,1.2390045922582344,103.84594116974611,12787.251348409854,04,99 yrs lease commencing from 2009
155,ALEXANDRA ROAD,THE ANCHORAGE,RCR,1.240847936423194,103.85335806573987,14802.588652218059,03,Freehold
156,TELOK BLANGAH ROAD,SKYLINE RESIDENCES,RCR,1.2436454621058617,103.83548353539152,20562.533038237874,04,Freehold
157,PASIR PANJANG ROAD,SEASUITES,RCR,1.2189946495014137,103.8461594477718,18478.60164420386,05,Freehold
158,PASIR PANJANG ROAD,PARC REGENCY,RCR,1.2138106733554292,103.85192470698728,11067.102189149431,05,Freehold
159,WEST COAST VALE,WHISTLER GRAND,OCR,1.1899967466304613,103.8831100226159,15442.664109015577,05,99 yrs lease commencing from 2018
160,KAMPONG BAHRU ROAD,HARBOUR SUITES,RCR,1.2636184094119471,103.83604687961376,17311.224489795917,04,Freehold
161,PEARL BANK,ONE PEARL BANK,RCR,1.2760339900253317,103.84669640982656,26131.9351560697,03,99 yrs lease commencing from 2019
162,SOUTH BUONA VISTA ROAD,VIVA VISTA,RCR,1.2217794260591344,103.84355872076807,16795.69553704396,05,Freehold
163,WEST COAST CRESCENT,WESTCOVE CONDOMINIUM,OCR,1.201977201109323,103.8618724831888,9089.993242455483,05,99 yrs lease commencing from 1995
164,MARGARET DRIVE,MARGARET VILLE,RCR,1.2387864298543816,103.86314518917587,20004.089219261037,03,99 yrs lease commencing from 2017
165,KEPPEL BAY VIEW,REFLECTIONS AT KEPPEL BAY,RCR,1.2470347721445982,103.83098196282305,17660.61806723646,04,99 yrs lease commencing from 2006
166,PASIR PANJANG ROAD,THE ORIENT,RCR,1.2194011183292472,103.8446958512225,19746.97531376653,05,Freehold
167,PASIR PANJANG ROAD,WHITEHAVEN,RCR,1.213308613894474,103.85354654450074,15019.330918730744,05,Freehold
168,RIVER VALLEY ROAD,LIANG COURT,RCR,1.2809197046701088,103.85517021583797,4959.860253256809,06,97 yrs lease commencing from 1980
169,TELOK BLANGAH DRIVE,HARBOUR VIEW TOWERS,RCR,1.2445306872919424,103.83581795654732,12727.972060965367,04,99 yrs lease commencing from 1990
170,LORONG SARHAD,TREASURE PLACE,RCR,1.2251936898627491,103.8443038918465,12307.907976608813,05,Freehold
171,SHENTON WAY,EON SHENTON,CCR,1.2824746864411922,103.83765453657065,23880.20745155536,02,99 yrs lease commencing from 2011
172,PASIR PANJANG ROAD,PARC IMPERIAL,RCR,1.219497385025883,103.84509565728463,16770.533577785336,05,Freehold
173,SELEGIE ROAD,SELEGIE CENTRE,RCR,1.2862993681064363,103.86768462747317,17333.507972463052,07,Freehold
174,SHENTON WAY,76 SHENTON,CCR,1.28180983712511,103.83727271314774,20137.289746354978,02,99 yrs lease commencing from 2007
175,PASIR PANJANG ROAD,LUXE VILLE,RCR,1.2130917798030054,103.85372866223118,12801.673866054913,05,Freehold
176,FRASER STREET,DUO RESIDENCES,CCR,1.2941956342707517,103.86279378894268,23293.194723626773,07,99 yrs lease commencing from 2011
177,PASIR PANJANG ROAD,THE MAYLEA,RCR,1.221310192669964,103.84426604873535,14736.66475304778,05,Freehold
178,BEACH ROAD,SOUTH BEACH RESIDENCES,CCR,1.2923541365381013,103.85804673530048,36238.181421613146,07,99 yrs lease commencing from 2007
179,LORONG SARHAD,SARHAD VILLE,RCR,1.2244209836555775,103.84428821251188,11107.919254658385,05,Freehold
180,WEST COAST DRIVE,HUNDRED TREES,OCR,1.19514691813324,103.87763329913817,14323.95782607934,05,956 yrs lease commencing from 1928
181,PASIR PANJANG ROAD,MENDON SPRING,RCR,1.2236489411142932,103.84243125952884,10700.350443207588,05,Freehold
182,JALAN MAT JAMBOL,BIJOU,RCR,1.2276497848333434,103.84062834312986,21026.335695730842,05,Freehold
183,OCEAN DRIVE,THE AZURE,CCR,1.2842978294904763,103.81544145669822,15092.825116883612,04,99 yrs lease commencing from 2005
184,PASIR PANJANG HILL,D' HILLSIDE LOFT,RCR,1.2212144288115911,103.84496773617843,11445.272615887277,05,Freehold
185,WEST COAST VALE,PARC RIVIERA,OCR,1.188950007929437,103.88410619511,13621.37897585211,05,99 yrs lease commencing from 2015
186,PASIR PANJANG ROAD,WEST-N,RCR,1.2193074933574022,103.8459867505333,13622.636765888978,05,Freehold
187,SPOTTISWOODE PARK ROAD,SPOTTISWOODE 18,RCR,1.273764672073294,103.83937767130674,22121.064576081673,02,Freehold
188,CRAIG ROAD,CRAIG PLACE,RCR,1.2786073841894798,103.84180744169363,18518.819604664885,02,99 yrs lease commencing from 1997
189,BEACH ROAD,THE 101,CCR,1.2932858598180852,103.861397712018,17187.5,07,999 yrs lease commencing from 1827
190,BEACH ROAD,THE PLAZA,CCR,1.2970014093089206,103.86324817498412,11700.146428354508,07,99 yrs lease commencing from 1968
191,PASIR PANJANG ROAD,MURANO,RCR,1.211356925104125,103.85305654318982,11614.263196440566,05,Freehold
192,NORTH BRIDGE ROAD,SOUTHBANK,RCR,1.3006861465136412,103.86989682480277,17359.698738957726,07,99 yrs lease commencing from 2006
193,ENG HOON STREET,ENG HOON MANSIONS,RCR,1.270677645252556,103.84723711811321,12856.630824372762,03,Freehold
194,DELTA ROAD,DOMAIN 21,RCR,1.2616391652504653,103.85551792548144,16122.500186000167,03,99 yrs lease commencing from 2004
195,WALLICH STREET,WALLICH RESIDENCE,CCR,1.2820483401903602,103.84088998630232,36715.03994743291,02,99 yrs lease commencing from 2011
196,KEPPEL BAY DRIVE,CARIBBEAN AT KEPPEL BAY,RCR,1.2506605577511503,103.83119648331778,16329.569058320214,04,99 yrs lease commencing from 1999
197,TELOK BLANGAH ROAD,TELOK BLANGAH HOUSE,RCR,1.2594982110646562,103.83002365842194,17669.17293233083,04,Freehold
198,LIANG SEAH STREET,LIANG SEAH COURT,CCR,1.2929608733092672,103.86162118080135,19097.222222222223,07,999 yrs lease commencing from 1827
199,MISTRI ROAD,LUMIERE,CCR,1.282284820103898,103.83805347705238,18698.952490056316,02,99 yrs lease commencing from 2006
200,WEST COAST ROAD,THE SORRENTO,OCR,1.2018640763401507,103.859415715364,16436.589046257785,05,Freehold
201,ALEXANDRA VIEW,THE METROPOLITAN CONDOMINIUM,RCR,1.2520815404743162,103.8541636881613,15060.151881318661,03,99 yrs lease commencing from 2006
202,FABER HEIGHTS,FABER CREST,OCR,1.1930571430644321,103.88672070694753,9736.767507458078,05,99 yrs lease commencing from 1996
203,KIM TIAN ROAD,HIGHLINE RESIDENCES,RCR,1.2659108162218848,103.8477419659296,20569.39644760458,03,99 yrs lease commencing from 2013
