,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency,latitude,longitude
464,J29,,BLK 528/534 JURONG WEST STREET 52,1.348626161 103.7169183,181,C,HDB,1.348626161,103.7169183
465,J32,,BLK 515/517 JURONG WEST STREET 52,1.345806661 103.7204749,80,C,HDB,1.345806661,103.7204749
466,J33,,BLK 518/520 JURONG WEST STREET 52,1.34577449 103.7178799,57,C,HDB,1.34577449,103.7178799
467,J34,,BLK 513/514 JURONG WEST STREET 52,1.347067663 103.7200857,63,C,HDB,1.347067663,103.7200857
468,J35,,BLK 508/511 JURONG WEST STREET 51/52,1.348117157 103.7195176,49,C,HDB,1.348117157,103.7195176
469,J36,,BLK 543/551 JURONG WEST STREET 42,1.35217192 103.7154564,184,C,HDB,1.35217192,103.7154564
470,J37,,BLK 537/542 JURONG WEST AVENUE 1,1.351295962 103.7158018,118,C,HDB,1.351295962,103.7158018
471,J38,,BLK 505/508 JURONG WEST STREET 52,1.349118094 103.7185855,7,C,HDB,1.349118094,103.7185855
472,J39,,BLK 456-461 JURONG WEST STREET 41,1.350157499 103.7213475,98,C,HDB,1.350157499,103.7213475
473,J40,,BLK 462-467 JURONG WEST STREET 41,1.350029732 103.7228784,73,C,HDB,1.350029732,103.7228784
474,J41,,BLK 468-473 JURONG WEST STREET 41,1.348289456 103.7220323,158,C,HDB,1.348289456,103.7220323
475,J43,,BLK 474-477 JURONG WEST STREET 41,1.347924854 103.7252685,98,C,HDB,1.347924854,103.7252685
476,J44,,BLK 478-483 JURONG WEST STREET 41,1.346847611 103.7246365,95,C,HDB,1.346847611,103.7246365
477,J45,,BLK 484-491 JURONG WEST AVENUE 1,1.348985181 103.7267854,177,C,HDB,1.348985181,103.7267854
478,J46,,BLK 501/504 JURONG WEST STREET 51,1.349754137 103.7190584,0,C,HDB,1.349754137,103.7190584
479,J47,,BLK 502/503 JURONG WEST AVENUE 1,1.350257476 103.7180208,2,C,HDB,1.350257476,103.7180208
480,J48,,BLK 441/455 JURONG WEST AVE 1/ST 42,1.352172767 103.7184799,349,C,HDB,1.352172767,103.7184799
481,J49,,BLK 552/559 JURONG WEST STREET 42,1.353455799 103.7189495,614,C,HDB,1.353455799,103.7189495
482,J50,,BLK 401/408 JURONG WEST STREET 42,1.353707209 103.7225209,155,C,HDB,1.353707209,103.7225209
483,J51,,BLK 409/416 JURONG WEST STREET 42,1.353556074 103.7246295,380,C,HDB,1.353556074,103.7246295
484,J52,,BLK 423/440 JURONG WEST AVE 1/ST 42,1.351436402 103.7245942,211,C,HDB,1.351436402,103.7245942
485,J53,,BLK 417/422 JURONG WEST STREET 42,1.35074095 103.7267264,115,C,HDB,1.35074095,103.7267264
486,J54,,BLK 492-496 JURONG WEST STREET 41,1.349926571 103.7245099,69,C,HDB,1.349926571,103.7245099
487,J55,,BLK 497-498 JURONG WEST STREET 41,1.348637315 103.7242909,77,C,HDB,1.348637315,103.7242909
488,J56,,BLK 130 JURONG GATEWAY ROAD,1.334892647 103.7393111,0,C,HDB,1.334892647,103.7393111
489,J57,,BLK 131/134 JURONG GATEWAY ROAD,1.333976117 103.7391199,109,C,HDB,1.333976117,103.7391199
490,J61,,BLK 912/932 JURONG WEST STREET 92,1.34007678 103.6884249,343,C,HDB,1.34007678,103.6884249
491,J62,,BLK 902/908 JURONG WEST STREET 91,1.340889782 103.6854076,61,C,HDB,1.340889782,103.6854076
492,J63,,BLK 909/911 JURONG WEST STREET 91,1.341779263 103.6864428,50,C,HDB,1.341779263,103.6864428
493,J64,,BLK 354 JURONG EAST AVE 1,1.344473346 103.7318524,252,C,HDB,1.344473346,103.7318524
494,J65,,BLK 933-953 JURONG WEST STREET 91,1.342770487 103.6892958,658,C,HDB,1.342770487,103.6892958
495,J66,,BLK 959-961 JURONG WEST STREET 92,1.341298039 103.6911289,0,C,HDB,1.341298039,103.6911289
496,J67,,BLK 962-966 JURONG WEST STREET 91,1.341643989 103.6927623,61,C,HDB,1.341643989,103.6927623
497,J69,,BLK 974/980 JURONG WEST STREET 93,1.339687397 103.6936407,94,C,HDB,1.339687397,103.6936407
498,J70,,BLK 835/838 JURONG WEST STREET 81,1.343687036 103.6935087,0,C,HDB,1.343687036,103.6935087
499,J71,,BLK 812/826 JURONG WEST STREET 81,1.346227648 103.6941744,75,C,HDB,1.346227648,103.6941744
