,TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name
180,H05,1.3169444444444445,103.80694444444444,Yes,LTA,Stand,Farrer Rd outside Farrer Road CCL Station
181,H06,1.3380555555555556,103.77888888888889,Yes,Private,Stand,Upp Bukit Timah Rd along driveway of Bukit Timah Plaza
182,H07,1.4166666666666667,103.83277777777778,Yes,LTA,Stand,Yishun Ave 2 outside Khatib MRT Station
183,H08,1.4283333333333335,103.835,Yes,LTA,Stand,Yishun Ave 2 outside Yishun MRT Station
184,H10,1.4288888888888889,103.83666666666666,Yes,Private,Stand,Yishun Ctrl 1 at driveway of Northpoint City
185,H12,1.4413888888888888,103.82416666666666,Yes,Private,Stand,Sembawang Rd along driveway of Sembawang Shopping Centre
186,H13,1.448888888888889,103.82027777777778,Yes,LTA,Stand,Sembawang Way outside Sembawang MRT Station
187,H14,1.4405555555555556,103.80111111111111,Yes,LTA,Stand,Woodlands Ave 7 outside Admiralty MRT Station
188,H15,1.4369444444444444,103.78694444444444,Yes,LTA,Stand,Woodlands Sq (East End) outside Woodlands MRT Station (Ent C)
189,H17,1.4433333333333334,103.76944444444445,Yes,LTA,Stand,Woodlands Centre Rd at Woodlands Train Checkpoint Complex
190,H18,1.4319444444444445,103.77361111111111,Yes,LTA,Stand,Woodlands Ave 3 outside Marsiling MRT Station
191,H19,1.4252777777777779,103.76222222222222,Yes,LTA,Stand,Woodlands Rd outside Kranji MRT Station
192,H21,1.3622222222222222,103.7675,Yes,LTA,Stand,Upp Bukit Timah Rd outside Hillview DTL Station
193,H22,1.3413888888888887,103.77583333333334,Yes,LTA,Stand,Upp Bukit Timah Rd along driveway of Beauty World DTL Station
194,H23,1.3427777777777776,103.77555555555556,Yes,LTA,Stand,Upp Bukit Timah Rd along driveway in front of Bukit Timah Shoppng Centre
195,H24,1.3697222222222223,103.76388888888889,Yes,LTA,Stand,Upp Bukit Timah Rd outside Cashew DTL Station
196,H25,1.3777777777777778,103.76138888888889,Yes,LTA,Stand,Upp Bukit Timah Rd outside Bukit Panjang DTL Station Ent B
197,H26,1.4272222222222224,103.83666666666666,Yes,Private,Stand,Northpoint Dr at driveway of Northpoint City
198,I01,1.3891666666666667,103.98666666666666,Yes,CCS,Stand,Changi Village Rd outside Blk 5
199,I02,1.3355555555555554,103.96083333333334,Yes,Private,Stand,Expo Dr along driveway of Singapore EXPO
200,I03,1.3519444444444446,103.94500000000001,Yes,Private,Stand,Tampines Ave 4 at driveway of Tampines Mall
201,I04,1.3419444444444444,103.95277777777778,Yes,Private,Stand,Simei St 6 at Eastpoint Shopping Mall
202,I05,1.3263888888888888,103.94583333333334,Yes,LTA,Stand,New Upp Changi Rd outside Tanah Merah MRT station (Ent A) (towards Bedok)
203,I06,1.3269444444444445,103.94555555555556,Yes,LTA,Stand,New Upp Changi Rd outside Tanah Merah MRT station (Ent B) (towards Tampines)
