,BusStopCode,RoadName,Description,Latitude,Longitude
367,11231,Holland Rd,Aft Estoril Mansions,1.31115316310297,103.80119919777994
368,11239,Holland Rd,Fairlodge,1.31152857401616,103.80165517330278
369,11259,Holland Dr,Opp Blk 21,1.31119887945564,103.79274002213417
370,11261,Holland Rd,Holland Village,1.31223168432152,103.79444621838488
371,11269,Holland Rd,Opp Holland Village,1.31256112590195,103.79453796697418
372,11271,Holland Rd,Aft East Sussex Lane,1.31473444398294,103.79008416699845
373,11279,Holland Rd,Aft Coronation Rd West,1.31466878886978,103.79069259768109
374,11281,Holland Rd,Aft Tan Boon Chong Ave,1.31622694399746,103.78852194399074
375,11289,Holland Rd,Opp Tan Boon Chong Ave,1.31618891387774,103.78904342517946
376,11291,Holland Rd,Cold Storage Jelita,1.31792777802094,103.78592333300938
377,11299,Holland Rd,Opp Cold Storage Jelita,1.31826975603165,103.78558843680226
378,11301,Sixth Ave,Hse No. 578,1.31803972093441,103.78790067716272
379,11309,Sixth Ave,Hse No. 589,1.31862443850443,103.78842993526158
380,11311,Sixth Ave,Hse No. 532,1.31989638898836,103.78918694402276
381,11319,Sixth Ave,Opp Hse No. 516,1.3203063798654,103.78959970624805
382,11321,Sixth Ave,Opp Regent Villa,1.32123138902898,103.79010361098513
383,11329,Sixth Ave,Regent Villa,1.32236139685053,103.7909809400838
384,11331,Sixth Ave,Opp Dynasty Gdn II,1.32320918827361,103.79144668575621
385,11339,Sixth Ave,Dynasty Lodge,1.32398638897489,103.79204722198944
386,11341,Sixth Ave,Garlick Ville,1.32551506183496,103.79282790894261
387,11349,Sixth Ave,Opp Garlick Ville,1.32566611098306,103.79307388903305
388,11351,Ghim Moh Rd,Blk 13,1.30934571218561,103.78945112775229
389,11359,Ghim Moh Rd,Opp Blk 13,1.30931022636473,103.78968608347117
390,11361,Nth Buona Vista Rd,Buona Vista Stn Exit C,1.30649698638726,103.79058123542397
391,11369,Nth Buona Vista Rd,Buona Vista Stn Exit D,1.3063259638605,103.79084827741467
392,11379,Nth Buona Vista Rd,Buona Vista Ter,1.30917002463976,103.79236323128613
393,11381,Holland Dr,Blk 10A,1.30841137865065,103.79328294102335
394,11389,Holland Dr,Blk 46,1.30906501014268,103.7929321687807
395,11401,Holland Ave,Holland V Stn/Blk12,1.30906722197973,103.79507444402137
396,11409,Holland Ave,Blk 9,1.3076441670056,103.79432583301961
397,11419,Holland Ave,Holland V Stn Exit A,1.31102981378085,103.79604399202725
398,11429,C'wealth Dr,Opp Blk 115B,1.30454000002017,103.7983633329984
399,11439,C'wealth Dr,Blk 92,1.30606472198412,103.80029777801455
400,11441,C'wealth Dr,Blk 58,1.29780416697573,103.79754055603178
401,11449,C'wealth Dr,Blk 37B,1.29840527801842,103.79760333302292
402,11451,C'wealth Dr,Blk 72,1.30034972200468,103.79707277801477
403,11459,C'wealth Dr,Blk 50,1.30097055597804,103.7968519439962
404,11469,Margaret Dr,Queensway Sec Sch,1.30113503392421,103.80188584326886
405,11471,Margaret Dr,Opp The Fisherman Ch,1.29951892595663,103.80315156606572
406,11481,Margaret Dr,Queenstown Lib,1.29811518922625,103.8060054035445
407,11489,Margaret Dr,Opp Queenstown Lib,1.298817,103.804395
408,11491,Margaret Dr,Opp Queenstown Pr Sch,1.29710202847016,103.8076364994003
409,11499,Margaret Dr,Queenstown Pr Sch,1.29685053610951,103.80788663334461
410,11511,Alexandra Rd,Alexandra Hosp,1.2859468736223,103.80251884462385
411,11519,Alexandra Rd,Opp Queensway Shop Ctr,1.28665742231261,103.80334129425303
412,11521,Alexandra Rd,Anchorpoint,1.2885710102662,103.80543003047167
413,11529,Alexandra Rd,Bef IKEA Ind Bldg,1.28903120647732,103.8060909305284
414,11531,Alexandra Rd,Opp Lea Hin Hardware Fty,1.29108833302538,103.80753083302794
415,11539,Alexandra Rd,Lea Hin Hardware Fty,1.29117049549107,103.80786180498694
416,11541,Stirling Rd,Opp Queens,1.29235984013148,103.80578500139798
417,11551,Stirling Rd,Tiong Ghee Tp,1.29126703051517,103.8040959835246
418,11561,Stirling Rd,Blk 166,1.29107396045212,103.80247592924283
419,11579,Mei Ling St,Blk 158,1.29256489056942,103.80303321252237
420,11589,Mei Ling St,Blk 157,1.292991881006,103.80400524995773
421,11599,Mei Ling St,Blk 153,1.29420805600708,103.80314888900556
422,11609,Mei Chin Rd,Blk 163,1.29188972202709,103.80212194401808
423,12021,Holland Rd,Bef Moonbeam Wk,1.31907638897016,103.78243055601493
424,12029,Holland Rd,Opp Moonbeam Wk,1.31958369390988,103.7824392109149
425,12031,Ulu Pandan Rd,Pandan Valley Condo,1.3208008510991,103.7796285552172
426,12039,Ulu Pandan Rd,Opp Pandan Valley Condo,1.32104526183447,103.78018998386835
427,12041,Ulu Pandan Rd,Aft Pandan Valley,1.32049172685895,103.77653442120544
428,12049,Ulu Pandan Rd,Opp Pandan Valley,1.32091131971837,103.77655888991401
429,12051,Ulu Pandan Rd,Pine Gr Condo,1.3204289505949,103.7750613105408
430,12059,Ulu Pandan Rd,Opp Pine Gr Condo,1.32072731097778,103.77515897833835
431,12061,Clementi Rd,Blk 109,1.32178500189496,103.77087339859139
432,12069,Clementi Rd,Opp Blk 109A,1.321433056,103.7710419
433,12071,Clementi Rd,Blk 116,1.32402249998323,103.77219388896603
434,12079,Clementi Rd,Opp Blk 116,1.32383187575187,103.77263094375739
435,12081,Clementi Rd,Maju Camp,1.326468056,103.77543
436,12089,Clementi Rd,Opp Maju Camp,1.326261111,103.7757089
437,12091,Clementi Rd,SIM HQ,1.32918315486756,103.7771471166854
438,12099,Clementi Rd,Opp SIM HQ,1.327838056,103.7767036
439,12101,Clementi Rd,Ngee Ann Poly,1.33243896358504,103.77768506316727
440,12109,Clementi Rd,Opp Ngee Ann Poly,1.330819444,103.7780086
441,12111,Ulu Pandan Rd,Bef Clementi Rd,1.3191179107649,103.77222980786665
442,12119,Ulu Pandan Rd,Police KINS Trg Camp,1.31964598192789,103.77279266281438
443,12121,Ghim Moh Rd,Blk 7,1.31164833301814,103.7871516670319
444,12129,Ghim Moh Rd,Blk 3,1.31182111096862,103.78732611099163
445,12131,Mt Sinai Rd,Aft Grove Ave,1.3141594439742,103.785061666981
