,facility_name,facility_type,address,lat,long,modified_name,google_place_id,num_ratings,avg_rating,W,weighted_rating
1181,imPAct@Hong Lim Green,Community Centre,20 Upper Pickering Street 58284,1.28632940482837,103.846479315186,imPAct@Hong Lim Green 20 Upper Pickering Stree,ChIJ50URFwsZ2jERynJAKdgorQM,46.0,4.7,0.000932552151965455,4.153663116356976
1182,Sembawang CC,Community Centre,2125 Sembawang Road 758528,1.4516815276281,103.828783247126,Sembawang CC 2125 Sembawang Road,ChIJi3j7l5sU2jEROGUByFjhrSM,361.0,4.0,0.007318507105641941,4.15203230071355
1183,Gek Poh Ville CC,Community Centre,1 Jurong West Street 74 649149,1.34868981937877,103.698726261357,Gek Poh Ville CC 1 Jurong West Street 74,ChIJe51FQbwP2jERj_QFCJP_xnM,321.0,4.0,0.006507592190889371,4.1521564948896845
1184,Geylang Serai CC,Community Centre,1 Engku Aman Turn 408528,1.3164501683615,103.89659695323,Geylang Serai CC 1 Engku Aman Turn,ChIJNemlVBcY2jER6bSTNyqozgU,1949.0,4.3,0.039511829221318955,4.158955340687456
1185,Geylang West CC,Community Centre,1205 Upper Boon Keng Road 387311,1.3156911078441,103.872387855134,Geylang West CC 1205 Upper Boon Keng Road,ChIJOa5WOTIY2jER3vTbKwtyREo,193.0,3.8,0.003912664463681148,4.1517713833605745
1186,Henderson CC,Community Centre,500 Bukit Merah View 159682,1.28601015660462,103.823315322074,Henderson CC 500 Bukit Merah View,ChIJOZIFa34Z2jERL9_IhYLjUH4,266.0,4.1,0.005392584183104588,4.152866520300178
1187,Hillview CC,Community Centre,1 Hillview Rise 667970,1.36196724402422,103.764266389757,Hillview CC 1 Hillview Rise,ChIJAcs3hFIQ2jERyK9SYBlkYKc,269.0,4.2,0.0054534028017110305,4.153408627878999
1188,Hong Kah North CC,Community Centre,30 Bukit Batok Street 31 659440,1.35905888839505,103.749456841487,Hong Kah North CC 30 Bukit Batok Street 31,ChIJd8eBijYQ2jERdnanSqYFOII,651.0,4.2,0.01319764023759807,4.153771420984104
1189,Hougang CC,Community Centre,35 Hougang Avenue 3 538840,1.36475743233025,103.892622240184,Hougang CC 35 Hougang Avenue 3,ChIJAQAASDUW2jERRfi8_uLQm-g,756.0,4.3,0.015326291888823566,4.1554037707908815
1190,Hwi Yoh CC,Community Centre,535 Serangoon North Avenue 4 550535,1.37360010030912,103.873890977742,Hwi Yoh CC 535 Serangoon North Avenue 4,ChIJ6zYOHVoW2jERqI7iqOoGeTo,163.0,3.9,0.003304478277616721,4.152316614057649
