,ID,Category,Name,coordinates,Pri_Popularity_Score,long,lat,google_place_id,num_ratings,avg_rating,W,weighted_rating
89,208,Primary School,OPERA ESTATE PRIMARY SCHOOL,"103.923752668632,1.31996876377748",3.0,103.923752668632,1.31996876377748,ChIJsYCERq4i2jERFd6Kh9r2Npg,29.0,4.5,0.00451291627762216,4.265973211896844
90,161,Primary School,LAKESIDE PRIMARY SCHOOL,"103.718089546664,1.33820397704287",3.0,103.718089546664,1.33820397704287,ChIJVwe1euUP2jERXOcoAuUFS9Y,23.0,3.3,0.0035792094615624027,4.261458657537088
91,155,Primary School,KHENG CHENG SCHOOL,"103.847148501824,1.3373381935639",3.0,103.847148501824,1.3373381935639,ChIJp4da-WgX2jERr7jaJT8dLgI,49.0,4.6,0.007625272331154684,4.2674674158162285
92,232,Primary School,PUNGGOL PRIMARY SCHOOL,"103.894667159512,1.37820062547641",2.5,103.894667159512,1.37820062547641,ChIJMwMWLTkW2jERk2sWNtVeA78,47.0,4.2,0.007314036725801431,4.264437509896746
93,251,Primary School,RIVERVALE PRIMARY SCHOOL,"103.904545253288,1.39333506298213",2.5,103.904545253288,1.39333506298213,ChIJnVhRDgUW2jERzmxuhCYAlso,27.0,4.5,0.004201680672268907,4.265900044228217
95,256,Primary School,SEMBAWANG PRIMARY SCHOOL,"103.821152676215,1.4457453096024",2.5,103.821152676215,1.4457453096024,ChIJBU_CcmcT2jERgvcz6IlYtns,28.0,4.5,0.004357298474945534,4.265936628062531
96,349,Primary School,ZHANGDE PRIMARY SCHOOL,"103.825951884637,1.28421153855474",2.5,103.825951884637,1.28421153855474,ChIJq8HpHnwZ2jERcWjjU2EPXBI,37.0,4.2,0.005757858699035169,4.264538524961641
97,127,Primary School,HAIG GIRLS' SCHOOL,"103.903061519804,1.31173085411355",2.5,103.903061519804,1.31173085411355,ChIJZQ7ylsoi2jER_oT3GrVLNeM,36.0,4.3,0.0056022408963585435,4.265108850557767
98,58,Primary School,CHIJ OUR LADY OF GOOD COUNSEL,"103.864152052213,1.35799494859112",2.5,103.864152052213,1.35799494859112,ChIJoYaz6QYX2jERTP8yt2h_FGw,26.0,3.8,0.0040460628695922814,4.26303121638519
99,237,Primary School,QUEENSTOWN PRIMARY SCHOOL,"103.807648475656,1.29552905587752",2.5,103.807648475656,1.29552905587752,ChIJHZ7rsjEa2jERk8bhusIDkQ0,15.0,4.2,0.002334267040149393,4.264760758104411
101,99,Primary School,EVERGREEN PRIMARY SCHOOL,"103.794577787757,1.44415332824735",2.5,103.794577787757,1.44415332824735,ChIJV-vEiAsT2jERfVihrP3-qkM,42.0,4.2,0.006535947712418301,4.264488017429193
102,47,Primary School,CASUARINA PRIMARY SCHOOL,"103.957112275692,1.37310773436801",2.5,103.957112275692,1.37310773436801,ChIJVysLeLI92jERObXZaIP4jws,29.0,4.3,0.00451291627762216,4.265070628641319
103,45,Primary School,CANOSSA CATHOLIC PRIMARY SCHOOL,"103.881002098815,1.32685351993336",2.5,103.881002098815,1.32685351993336,ChIJIRNtJogX2jERElVBsjOBiXM,23.0,4.6,0.0035792094615624027,4.266111629837119
104,56,Primary School,CHIJ (KELLOCK),"103.827954007978,1.27474048872023",2.5,103.827954007978,1.27474048872023,ChIJq6qqqmcZ2jERnmBg6WoXr6o,39.0,4.5,0.006069094304388422,4.266339050239979
105,350,Primary School,ZHENGHUA PRIMARY SCHOOL,"103.769118494651,1.37972100441473",2.5,103.769118494651,1.37972100441473,ChIJJR5v3qMR2jER9QZ49ia1PWE,45.0,4.6,0.0070028011204481795,4.2672588333579045
106,112,Primary School,FUHUA PRIMARY SCHOOL,"103.736103745748,1.33650394789627",2.5,103.736103745748,1.33650394789627,ChIJW0UfzQQQ2jERh4EbohGYgDc,38.0,4.0,0.005913476501711796,4.263345728154809
107,197,Primary School,NORTH VIEW PRIMARY SCHOOL,"103.848190787869,1.42752327193727",2.5,103.848190787869,1.42752327193727,ChIJx_FGD0MU2jERn6fRo0s4Pnc,34.0,3.9,0.005291005291005291,4.262981527893808
108,116,Primary School,GEYLANG METHODIST SCHOOL (PRIMARY),"103.883902821362,1.31747682664316",2.5,103.883902821362,1.31747682664316,ChIJhQXAwCQY2jERdnNoYBxAO30,42.0,4.2,0.006535947712418301,4.264488017429193
