,street,project,marketSegment,SVY21_x,SVY21_y,lat,long,avg_price_per_sqm,district,commonest_tenure
94,JALAN LEMPENG,PARK WEST,OCR,19911.96861,33344.57241,1.3178299204047528,103.76064348269301,8503.526591005118,05,99 yrs lease commencing from 1982
95,CLUB STREET,EMERALD GARDEN,RCR,29463.93174,29332.65992,1.281548629255539,103.84647257005695,18665.037205817272,01,999 yrs lease commencing from 1827
96,WATERLOO STREET,WATERLOO VIEW,RCR,30159.18318,31457.37706,1.3007637835507608,103.85271981747661,10161.61616161616,07,Freehold
97,PRINCE CHARLES CRESCENT,PRINCIPAL GARDEN,RCR,26833.45669,30529.79021,1.292375067444936,103.82283669393537,18596.195654152278,03,99 yrs lease commencing from 2014
98,JALAN SULTAN,TEXTILE CENTRE,RCR,31126.64316,31773.69417,1.3036243614922214,103.86141291439407,9665.57534249092,07,99 yrs lease commencing from 1970
99,ZEHNDER ROAD,BUONA LODGE,RCR,22814.30767,29347.95902,1.2816865960498816,103.78672313799962,11741.80898165718,05,Freehold
100,JALAN LEMPENG,PARC CLEMATIS,OCR,19797.85798,33186.6657,1.3164018387608052,103.75961818287844,17567.427905635563,05,99 yrs lease commencing from 2019
101,ALEXANDRA VIEW,ASCENTIA SKY,RCR,26183.9116,30372.33171,1.2909510371358541,103.81700026563036,15888.505976747512,03,99 yrs lease commencing from 2008
102,WEST COAST ROAD,CLEMENTIWOODS CONDOMINIUM,OCR,20752.17158,31012.23939,1.2967373466317613,103.76819367598495,11799.524791973863,05,99 yrs lease commencing from 2006
103,PASIR PANJANG ROAD,LOTUS AT PASIR PANJANG,RCR,22592.12151,29082.68391,1.2792875044781817,103.78472675550265,14532.614309220402,05,Freehold
104,COVE DRIVE,MARINA COLLECTION,CCR,28722.70375,25203.03085,1.2442017325163561,103.83981225854374,19226.92040213793,04,99 yrs lease commencing from 2007
105,SILAT AVENUE,AVENUE SOUTH RESIDENCE,RCR,27597.65868,28801.89427,1.2767486020770533,103.82970339426619,22079.20901195876,03,99 yrs lease commencing from 2018
106,PASIR PANJANG ROAD,THE VERANDAH RESIDENCES,RCR,22592.12151,29082.68391,1.2792875044781817,103.78472675550265,19566.777972829103,05,Freehold
107,JALAN MAS PUTEH,RESIDENTIAL APARTMENTS,OCR,20026.94179,32299.90509,1.3083823554070293,103.7616768439653,8352.941176470587,05,999 yrs lease commencing from 1968
108,PASIR PANJANG HILL,LE HILL CONDOMINIUM,RCR,22587.44859,29513.59905,1.2831845476963577,103.78468469405765,12649.540981877853,05,Freehold
109,SOUTH BUONA VISTA ROAD,VISTA PARK,RCR,23133.98734,29358.48172,1.2817818106163694,103.78959558067037,9668.199605706299,05,99 yrs lease commencing from 1979
110,CHAY YAN STREET,THE REGENCY AT TIONG BAHRU,RCR,27641.9813,29399.32367,1.2821515446939518,103.83010164258613,18512.24789083922,03,Freehold
111,YONG SIAK STREET,YONG SIAK VIEW,RCR,27639.23981,29474.83875,1.2828344765601554,103.83007700837314,13452.528837622005,03,Freehold
112,BEACH ROAD,GOLDEN MILE COMPLEX,CCR,31545.01129,31679.36149,1.302771205081821,103.8651721345018,7032.348551936222,07,99 yrs lease commencing from 1969
113,CLEMENTI AVENUE 1,THE CLEMENT CANOPY,OCR,20790.40019,32111.23165,1.3066762481543326,103.7685369228942,15066.53871689946,05,99 yrs lease commencing from 2016
114,SPOTTISWOODE PARK ROAD,SPOTTISWOODE PARK,RCR,28177.98789,28453.18046,1.2735949585889834,103.83491786424061,8943.696099188985,02,99 yrs lease commencing from 1973
115,PASIR PANJANG ROAD,THE CASSANDRA,RCR,23532.54265,28815.22865,1.2768688805042505,103.79317682946261,12471.489938860743,05,Freehold
116,PEPYS ROAD,PEPYS HILL CONDOMINIUM,RCR,23600.1092,28912.25627,1.277746373566088,103.79378392629006,11115.321857942436,05,Freehold
117,OCEAN DRIVE,THE OCEANFRONT @ SENTOSA COVE,CCR,29023.88711,25225.29105,1.2444030379301774,103.84251846914482,16712.12570144263,04,99 yrs lease commencing from 2005
118,ALEXANDRA VIEW,ECHELON,RCR,26280.36259,30334.28322,1.2906069454252016,103.81786692016226,19648.18864646922,03,99 yrs lease commencing from 2012
119,PASIR PANJANG ROAD,VILLA DE WEST,RCR,21188.50388,30347.44607,1.2907252914609593,103.7721144547857,11997.741285668177,05,Freehold
120,HAVELOCK ROAD,HARVEST MANSIONS,RCR,27835.82701,30248.40524,1.289830342024084,103.83184341694655,12330.863660528732,03,99 yrs lease commencing from 1993
121,BEACH ROAD,CONCOURSE SKYLINE,RCR,31176.52371,31450.76883,1.3007039337229809,103.86186108134207,21084.354680657892,07,99 yrs lease commencing from 2008
122,PASIR PANJANG ROAD,24 ONE RESIDENCES,RCR,22603.02797,29181.50373,1.280181197835103,103.784824737338,18274.300888568774,05,Freehold
123,TAN QUEE LAN STREET,TANQUEELAN SUITES,CCR,30596.83271,31186.14608,1.2983108327447688,103.85665227391618,16637.233453820267,07,999 yrs lease commencing from 1827
124,WEST COAST CRESCENT,BLUE HORIZON,OCR,20407.56726,31116.71765,1.2976821284999007,103.76509723182168,11194.929240533165,05,99 yrs lease commencing from 2000
125,PASIR PANJANG HILL,VENTANA,RCR,22603.69432,29438.79724,1.2825080693966386,103.78483068098039,13153.289725944982,05,Freehold
126,INDUS ROAD,EMERALD PARK,RCR,27640.93651,30277.63394,1.290094674481801,103.83009224472296,13065.375282053348,03,99 yrs lease commencing from 1991
127,PASIR PANJANG ROAD,PALISADES,RCR,22080.49403,29948.63352,1.2871187538210667,103.78012942948081,9152.10355987055,05,Freehold
128,WEST COAST VALE,TWIN VEW,OCR,19027.87153,33550.02134,1.3196876800479176,103.75269936373174,15242.030888733743,05,99 yrs lease commencing from 2017
129,YONG SIAK STREET,YONG SIAK COURT,RCR,27651.40615,29452.8796,1.2826358858474376,103.83018632792358,13437.5,03,Freehold
130,KIM TIAN ROAD,TWIN REGENCY,RCR,27459.16513,29689.6038,1.284776733735535,103.82845896349617,18150.049826404702,03,Freehold
131,PASIR PANJANG ROAD,PALM GREEN,RCR,20878.65334,30403.72621,1.2912341999787618,103.76933030727838,10873.111580968307,05,Freehold
132,JERVOIS LANE,RESIDENTIAL APARTMENTS,RCR,26397.76417,30748.89297,1.2943565364123302,103.81892180114849,15384.615384615385,03,Freehold
133,WEST COAST ROAD,VARSITY PARK CONDOMINIUM,OCR,20833.03347,30759.9647,1.294455883210807,103.76892031268659,11754.739935565884,05,99 yrs lease commencing from 2004
134,WISHART ROAD,THE FORESTA @ MOUNT FABER,RCR,25858.32453,28125.37744,1.270630351056541,103.81407488145705,18871.4857776848,04,Freehold
135,CHIN SWEE ROAD,THE LANDMARK,RCR,28696.69635,29836.78218,1.2861077603445534,103.83957867557254,23243.61726294441,03,99 yrs lease commencing from 2020
136,PASIR PANJANG HILL,CRYSTAL HEIGHTS,RCR,22701.50837,29333.96734,1.281560041482192,103.78570959544746,12294.971063144449,05,Freehold
137,EVERTON ROAD,SKY EVERTON,RCR,28537.88904,28706.92904,1.2758897678399563,103.83815170908485,27756.42062139923,02,Freehold
138,FABER WALK,WATERFRONT @ FABER,OCR,19304.04342,33982.49856,1.3235989271705626,103.7551807871873,14329.335158256245,05,99 yrs lease commencing from 2013
139,CRAIG ROAD,CHINATOWN PLAZA,RCR,28981.0774,29012.42241,1.2786525322084683,103.84213392794068,29348.684953154985,02,Freehold
140,KEPPEL BAY DRIVE,CORALS AT KEPPEL BAY,RCR,26191.48223,27655.69013,1.266382684175158,103.81706844553605,22183.89583463338,04,99 yrs lease commencing from 2007
141,PASIR PANJANG ROAD,LANDRIDGE CONDOMINIUM,RCR,22862.29153,29078.59425,1.2792505641597587,103.78715433494641,13276.748390106934,05,Freehold
142,COVE DRIVE,SEVEN PALMS SENTOSA COVE,CCR,27784.60395,24730.34507,1.2399269340520753,103.83138319378239,30728.253345786085,04,99 yrs lease commencing from 2007
143,MCCALLUM STREET,THE CLIFT,CCR,29559.31115,29095.0919,1.279400142865173,103.84732957913549,20885.451148823937,01,99 yrs lease commencing from 2004
